customer_id,signup_date,churned_at,plan,country,monthly_revenue,status,acquisition_channel
CUST-00001,2026-01-20 00:00:00+00:00,,Basic,AU,31.52,active,referral
CUST-00002,2024-10-04 00:00:00+00:00,,Basic,DE,27.65,active,sales
CUST-00003,2024-12-26 00:00:00+00:00,,Basic,CA,16.34,active,referral
CUST-00004,2025-05-24 00:00:00+00:00,2026-04-04 00:00:00+00:00,Basic,AU,29.08,churned,partner
CUST-00005,2025-05-28 00:00:00+00:00,,Pro,US,70.2,active,partner
CUST-00006,2024-08-07 00:00:00+00:00,,Basic,GB,15.12,active,organic
CUST-00007,2026-01-22 00:00:00+00:00,,Basic,IN,30.09,active,organic
CUST-00008,2024-11-26 00:00:00+00:00,2026-04-01 00:00:00+00:00,Enterprise,DE,202.9,churned,referral
CUST-00009,2025-11-03 00:00:00+00:00,,Basic,IN,33.21,active,paid_search
CUST-00010,2026-01-17 00:00:00+00:00,2026-03-31 00:00:00+00:00,Basic,CA,33.54,churned,paid_search
CUST-00011,2025-03-24 00:00:00+00:00,2026-04-05 00:00:00+00:00,Pro,IN,63.54,churned,organic
CUST-00012,2024-05-18 00:00:00+00:00,,Basic,DE,18.11,active,referral
CUST-00013,2024-10-31 00:00:00+00:00,,Basic,US,44.79,active,referral
CUST-00014,2024-10-13 00:00:00+00:00,,Basic,CA,20.62,active,partner
CUST-00015,2024-11-12 00:00:00+00:00,,Enterprise,CA,203.89,active,partner
CUST-00016,2024-09-26 00:00:00+00:00,,Basic,AU,23.5,active,paid_search
CUST-00017,2025-04-02 00:00:00+00:00,,Basic,GB,29.64,active,organic
CUST-00018,2025-12-24 00:00:00+00:00,,Basic,US,23.93,active,paid_search
CUST-00019,2024-08-20 00:00:00+00:00,2026-03-28 00:00:00+00:00,Basic,AU,33.49,churned,referral
CUST-00020,2025-05-16 00:00:00+00:00,,Pro,GB,80.09,active,referral
CUST-00021,2025-04-11 00:00:00+00:00,,Basic,CA,25.41,active,organic
CUST-00022,2025-07-10 00:00:00+00:00,2026-04-05 00:00:00+00:00,Pro,AU,70.6,churned,organic
CUST-00023,2025-11-17 00:00:00+00:00,,Pro,DE,81.14,active,organic
CUST-00024,2024-06-21 00:00:00+00:00,,Pro,CA,69.3,active,sales
CUST-00025,2024-09-29 00:00:00+00:00,,Basic,AU,32.42,active,partner
CUST-00026,2025-01-02 00:00:00+00:00,2026-04-06 00:00:00+00:00,Enterprise,GB,220.01,churned,referral
CUST-00027,2025-06-18 00:00:00+00:00,,Pro,US,89.8,active,partner
CUST-00028,2024-09-01 00:00:00+00:00,2026-03-30 00:00:00+00:00,Basic,US,34.75,churned,referral
CUST-00029,2025-03-11 00:00:00+00:00,2026-04-03 00:00:00+00:00,Pro,GB,78.32,churned,partner
CUST-00030,2025-05-21 00:00:00+00:00,,Enterprise,DE,183.49,active,organic
CUST-00031,2025-05-16 00:00:00+00:00,,Basic,US,18.42,active,sales
CUST-00032,2025-10-17 00:00:00+00:00,,Enterprise,US,209.26,active,referral
CUST-00033,2026-01-18 00:00:00+00:00,,Basic,AU,22.68,active,referral
CUST-00034,2025-03-05 00:00:00+00:00,,Pro,AU,73.41,active,sales
CUST-00035,2024-07-18 00:00:00+00:00,,Enterprise,US,197.67,active,organic
CUST-00036,2026-02-06 00:00:00+00:00,,Basic,DE,20.5,active,paid_search
CUST-00037,2024-08-07 00:00:00+00:00,,Pro,US,69.19,active,partner
CUST-00038,2024-08-28 00:00:00+00:00,,Basic,AU,28.6,active,organic
CUST-00039,2025-09-13 00:00:00+00:00,,Pro,CA,71.87,active,partner
CUST-00040,2025-01-11 00:00:00+00:00,2026-04-13 00:00:00+00:00,Pro,CA,73.07,churned,organic
CUST-00041,2025-11-28 00:00:00+00:00,,Basic,DE,22.75,active,organic
CUST-00042,2024-10-15 00:00:00+00:00,2026-03-29 00:00:00+00:00,Basic,DE,33.18,churned,organic
CUST-00043,2024-11-24 00:00:00+00:00,2026-04-01 00:00:00+00:00,Basic,CA,27.14,churned,organic
CUST-00044,2025-07-21 00:00:00+00:00,,Basic,DE,27.57,active,referral
CUST-00045,2026-02-04 00:00:00+00:00,,Basic,GB,33.78,active,partner
CUST-00046,2024-05-22 00:00:00+00:00,2026-04-13 00:00:00+00:00,Basic,AU,27.86,churned,partner
CUST-00047,2025-05-19 00:00:00+00:00,,Basic,DE,26.77,active,paid_search
CUST-00048,2024-07-14 00:00:00+00:00,2026-03-26 00:00:00+00:00,Basic,CA,32.76,churned,partner
CUST-00049,2024-12-10 00:00:00+00:00,,Pro,DE,84.35,active,paid_search
CUST-00050,2024-10-01 00:00:00+00:00,2026-04-10 00:00:00+00:00,Pro,CA,77.82,churned,organic
CUST-00051,2024-10-14 00:00:00+00:00,2026-04-05 00:00:00+00:00,Pro,US,79.64,churned,partner
CUST-00052,2025-11-08 00:00:00+00:00,2026-03-28 00:00:00+00:00,Basic,US,22.75,churned,paid_search
CUST-00053,2025-07-14 00:00:00+00:00,2026-04-16 00:00:00+00:00,Enterprise,US,192.11,churned,organic
CUST-00054,2025-05-04 00:00:00+00:00,2026-04-07 00:00:00+00:00,Pro,DE,85.15,churned,organic
CUST-00055,2025-04-13 00:00:00+00:00,,Basic,AU,32.56,active,sales
CUST-00056,2026-02-20 00:00:00+00:00,,Basic,IN,32.64,active,sales
CUST-00057,2025-03-10 00:00:00+00:00,,Pro,US,81.25,active,paid_search
CUST-00058,2025-12-06 00:00:00+00:00,,Basic,CA,29.37,active,referral
CUST-00059,2024-10-26 00:00:00+00:00,,Pro,AU,84.57,active,referral
CUST-00060,2024-12-06 00:00:00+00:00,,Enterprise,DE,206.48,active,organic
CUST-00061,2024-06-24 00:00:00+00:00,,Basic,GB,36.29,active,partner
CUST-00062,2024-10-25 00:00:00+00:00,,Basic,GB,28.19,active,referral
CUST-00063,2025-07-13 00:00:00+00:00,,Enterprise,US,210.1,active,organic
CUST-00064,2024-05-24 00:00:00+00:00,,Pro,IN,80.83,active,paid_search
CUST-00065,2025-06-12 00:00:00+00:00,,Basic,CA,34.06,active,organic
CUST-00066,2025-08-10 00:00:00+00:00,,Enterprise,GB,201.26,active,organic
CUST-00067,2024-07-06 00:00:00+00:00,,Enterprise,AU,200.98,active,organic
CUST-00068,2025-07-10 00:00:00+00:00,,Pro,AU,73.11,active,organic
CUST-00069,2026-01-29 00:00:00+00:00,2026-04-11 00:00:00+00:00,Pro,IN,84.61,churned,paid_search
CUST-00070,2025-05-03 00:00:00+00:00,2026-03-29 00:00:00+00:00,Basic,IN,51.76,churned,sales
CUST-00071,2024-09-19 00:00:00+00:00,,Basic,AU,26.0,active,paid_search
CUST-00072,2025-11-12 00:00:00+00:00,2026-04-20 00:00:00+00:00,Pro,US,79.57,churned,referral
