ticket_id,customer_id,opened_at,resolved_at,priority,category,satisfaction_score
TICKET-CUST-00001-0,CUST-00001,2026-02-17 00:00:00+00:00,2026-02-19 02:07:03.579223209+00:00,low,bug,2.5
TICKET-CUST-00001-1,CUST-00001,2026-02-19 00:00:00+00:00,,low,general,2.5
TICKET-CUST-00002-0,CUST-00002,2026-02-09 00:00:00+00:00,2026-02-09 16:29:59.438520880+00:00,medium,billing,4.0
TICKET-CUST-00002-1,CUST-00002,2026-02-07 00:00:00+00:00,2026-02-08 06:25:24.160841812+00:00,medium,general,3.1
TICKET-CUST-00003-0,CUST-00003,2026-03-01 00:00:00+00:00,2026-03-01 21:40:46.166307163+00:00,low,general,4.0
TICKET-CUST-00004-0,CUST-00004,2026-03-17 00:00:00+00:00,2026-03-18 06:17:02.146434897+00:00,low,bug,4.0
TICKET-CUST-00004-1,CUST-00004,2026-02-12 00:00:00+00:00,2026-02-13 13:31:50.432486510+00:00,medium,training,2.6
TICKET-CUST-00004-2,CUST-00004,2026-02-24 00:00:00+00:00,2026-02-25 08:38:49.021814636+00:00,medium,billing,2.2
TICKET-CUST-00005-0,CUST-00005,2026-03-28 00:00:00+00:00,2026-03-29 17:27:38.553264528+00:00,medium,general,2.0
TICKET-CUST-00005-1,CUST-00005,2026-02-13 00:00:00+00:00,2026-02-14 17:04:47.808603667+00:00,medium,bug,4.1
TICKET-CUST-00005-2,CUST-00005,2026-01-24 00:00:00+00:00,2026-01-25 17:04:28.662925639+00:00,low,bug,3.0
TICKET-CUST-00007-0,CUST-00007,2026-03-24 00:00:00+00:00,2026-03-25 00:00:40.686494878+00:00,low,general,4.5
TICKET-CUST-00007-1,CUST-00007,2026-03-21 00:00:00+00:00,2026-03-21 13:22:16.379442863+00:00,low,general,3.5
TICKET-CUST-00009-0,CUST-00009,2026-02-20 00:00:00+00:00,2026-02-22 07:06:26.694043232+00:00,low,bug,3.4
TICKET-CUST-00010-0,CUST-00010,2026-04-10 00:00:00+00:00,2026-04-11 06:53:41.191602087+00:00,low,training,3.5
TICKET-CUST-00011-0,CUST-00011,2026-04-01 00:00:00+00:00,2026-04-02 02:25:36.676929977+00:00,low,general,2.7
TICKET-CUST-00012-0,CUST-00012,2026-02-06 00:00:00+00:00,2026-02-06 20:12:33.897442571+00:00,high,general,5.0
TICKET-CUST-00013-0,CUST-00013,2026-02-26 00:00:00+00:00,2026-02-26 21:58:30.615482651+00:00,medium,bug,3.8
TICKET-CUST-00013-1,CUST-00013,2026-04-19 00:00:00+00:00,2026-04-20 06:41:52.916213014+00:00,low,billing,3.5
TICKET-CUST-00014-0,CUST-00014,2026-02-04 00:00:00+00:00,,medium,bug,3.4
TICKET-CUST-00014-1,CUST-00014,2026-04-07 00:00:00+00:00,2026-04-07 12:06:26.020736635+00:00,medium,billing,3.5
TICKET-CUST-00015-0,CUST-00015,2026-02-06 00:00:00+00:00,2026-02-07 02:41:22.449737053+00:00,low,bug,3.6
TICKET-CUST-00015-1,CUST-00015,2026-03-17 00:00:00+00:00,2026-03-18 04:43:12.028738615+00:00,medium,general,3.5
TICKET-CUST-00016-0,CUST-00016,2026-04-03 00:00:00+00:00,2026-04-04 22:40:22.737638630+00:00,medium,training,1.9
TICKET-CUST-00016-1,CUST-00016,2026-03-03 00:00:00+00:00,2026-03-05 14:30:57.428585920+00:00,low,billing,2.0
TICKET-CUST-00018-0,CUST-00018,2026-03-05 00:00:00+00:00,2026-03-05 19:52:41.856584612+00:00,low,billing,2.6
TICKET-CUST-00018-1,CUST-00018,2026-03-07 00:00:00+00:00,2026-03-08 07:05:51.416054113+00:00,low,general,5.0
TICKET-CUST-00019-0,CUST-00019,2026-03-24 00:00:00+00:00,2026-03-25 14:17:27.452824520+00:00,medium,training,4.2
TICKET-CUST-00019-1,CUST-00019,2026-03-06 00:00:00+00:00,2026-03-06 21:03:11.873557123+00:00,medium,training,4.2
TICKET-CUST-00020-0,CUST-00020,2026-03-03 00:00:00+00:00,2026-03-05 11:52:55.284972198+00:00,low,training,2.1
TICKET-CUST-00020-1,CUST-00020,2026-03-14 00:00:00+00:00,,low,training,2.8
TICKET-CUST-00022-0,CUST-00022,2026-04-02 00:00:00+00:00,2026-04-03 23:52:30.909153268+00:00,low,general,3.6
TICKET-CUST-00022-1,CUST-00022,2026-02-18 00:00:00+00:00,2026-02-20 07:28:40.068813136+00:00,medium,billing,1.8
TICKET-CUST-00022-2,CUST-00022,2026-02-13 00:00:00+00:00,2026-02-14 19:31:43.202857544+00:00,medium,training,3.4
TICKET-CUST-00024-0,CUST-00024,2026-02-04 00:00:00+00:00,2026-02-05 08:26:20.734111146+00:00,low,bug,4.4
TICKET-CUST-00025-0,CUST-00025,2026-01-30 00:00:00+00:00,2026-01-30 21:34:55.096645789+00:00,low,bug,4.1
TICKET-CUST-00027-0,CUST-00027,2026-02-04 00:00:00+00:00,,medium,billing,2.3
TICKET-CUST-00027-1,CUST-00027,2026-03-26 00:00:00+00:00,2026-03-27 22:38:14.491204721+00:00,medium,billing,2.8
TICKET-CUST-00028-0,CUST-00028,2026-02-19 00:00:00+00:00,2026-02-20 20:42:29.632741956+00:00,low,bug,1.5
TICKET-CUST-00028-1,CUST-00028,2026-03-13 00:00:00+00:00,,low,general,3.0
TICKET-CUST-00028-2,CUST-00028,2026-03-20 00:00:00+00:00,2026-03-21 13:26:25.200966846+00:00,low,bug,1.7
TICKET-CUST-00029-0,CUST-00029,2026-03-28 00:00:00+00:00,2026-03-29 19:23:10.506128510+00:00,medium,bug,1.9
TICKET-CUST-00029-1,CUST-00029,2026-04-01 00:00:00+00:00,2026-04-02 15:28:16.845654195+00:00,low,bug,2.8
TICKET-CUST-00031-0,CUST-00031,2026-02-06 00:00:00+00:00,2026-02-07 18:51:30.478383101+00:00,medium,general,2.4
TICKET-CUST-00032-0,CUST-00032,2026-02-11 00:00:00+00:00,2026-02-12 14:41:13.031893685+00:00,high,bug,4.0
TICKET-CUST-00033-0,CUST-00033,2026-02-10 00:00:00+00:00,2026-02-11 16:21:26.732124749+00:00,high,general,2.2
TICKET-CUST-00033-1,CUST-00033,2026-02-13 00:00:00+00:00,2026-02-15 01:38:41.564599850+00:00,low,general,2.9
